127.0.0.1 - - [12/Oct/2017:11:00:38 -0300] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [12/Oct/2017:11:00:42 -0300] "GET /01_SpringWeb/ HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [12/Oct/2017:11:00:42 -0300] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [12/Oct/2017:11:00:44 -0300] "POST /01_SpringWeb/validarUsuario;jsessionid=75FAD4B52C06616F44A86F52B21DEB07 HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [12/Oct/2017:11:00:51 -0300] "POST /01_SpringWeb/validarUsuario HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [12/Oct/2017:11:00:53 -0300] "POST /01_SpringWeb/validarUsuario HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [12/Oct/2017:11:00:53 -0300] "POST /01_SpringWeb/validarUsuario HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [12/Oct/2017:11:00:54 -0300] "POST /01_SpringWeb/validarUsuario HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [12/Oct/2017:11:00:54 -0300] "POST /01_SpringWeb/validarUsuario HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [12/Oct/2017:11:00:54 -0300] "POST /01_SpringWeb/validarUsuario HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [12/Oct/2017:11:00:54 -0300] "POST /01_SpringWeb/validarUsuario HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [12/Oct/2017:11:00:54 -0300] "POST /01_SpringWeb/validarUsuario HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [12/Oct/2017:11:00:55 -0300] "POST /01_SpringWeb/validarUsuario HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [12/Oct/2017:11:00:55 -0300] "POST /01_SpringWeb/validarUsuario HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [12/Oct/2017:11:00:55 -0300] "POST /01_SpringWeb/validarUsuario HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [12/Oct/2017:11:00:55 -0300] "POST /01_SpringWeb/validarUsuario HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [12/Oct/2017:11:00:55 -0300] "POST /01_SpringWeb/validarUsuario HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [12/Oct/2017:11:00:56 -0300] "POST /01_SpringWeb/validarUsuario HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [12/Oct/2017:11:00:56 -0300] "POST /01_SpringWeb/validarUsuario HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [12/Oct/2017:11:08:11 -0300] "POST /01_SpringWeb/validarUsuario HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [12/Oct/2017:11:08:12 -0300] "POST /01_SpringWeb/validarUsuario HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [12/Oct/2017:11:08:12 -0300] "POST /01_SpringWeb/validarUsuario HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [12/Oct/2017:11:08:13 -0300] "POST /01_SpringWeb/validarUsuario HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [12/Oct/2017:11:08:13 -0300] "POST /01_SpringWeb/validarUsuario HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [12/Oct/2017:11:08:13 -0300] "POST /01_SpringWeb/validarUsuario HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [12/Oct/2017:11:08:14 -0300] "POST /01_SpringWeb/validarUsuario HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [12/Oct/2017:11:08:14 -0300] "POST /01_SpringWeb/validarUsuario HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [12/Oct/2017:11:08:14 -0300] "POST /01_SpringWeb/validarUsuario HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [12/Oct/2017:11:08:37 -0300] "POST /01_SpringWeb/validarUsuario HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [12/Oct/2017:11:08:43 -0300] "POST /01_SpringWeb/validarUsuario HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [12/Oct/2017:11:08:50 -0300] "POST /01_SpringWeb/validarUsuario HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [12/Oct/2017:11:08:58 -0300] "POST /01_SpringWeb/validarUsuario HTTP/1.1" 200 601
0:0:0:0:0:0:0:1 - - [12/Oct/2017:11:37:57 -0300] "GET /01_SpringWeb/usuario/cadastro HTTP/1.1" 200 759
0:0:0:0:0:0:0:1 - - [12/Oct/2017:11:37:58 -0300] "GET /01_SpringWeb/escola/lista HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Oct/2017:11:37:58 -0300] "GET /01_SpringWeb/ HTTP/1.1" 200 571
0:0:0:0:0:0:0:1 - - [12/Oct/2017:11:38:01 -0300] "GET /01_SpringWeb/usuario/cadastro HTTP/1.1" 200 759
