127.0.0.1 - - [07/Nov/2017:23:44:46 -0200] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [07/Nov/2017:23:44:51 -0200] "GET /07_GestaoProdutos/ HTTP/1.1" 200 2295
0:0:0:0:0:0:0:1 - - [07/Nov/2017:23:44:55 -0200] "GET /07_GestaoProdutos/css/menu.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [07/Nov/2017:23:44:55 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [07/Nov/2017:23:44:55 -0200] "GET /07_GestaoProdutos/css/estilos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [07/Nov/2017:23:44:55 -0200] "GET /07_GestaoProdutos/js/script.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [07/Nov/2017:23:44:55 -0200] "GET /07_GestaoProdutos/img/3.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [07/Nov/2017:23:44:55 -0200] "GET /07_GestaoProdutos/img/2.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [07/Nov/2017:23:44:55 -0200] "GET /07_GestaoProdutos/img/1.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [07/Nov/2017:23:44:57 -0200] "GET /07_GestaoProdutos/js/script.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [07/Nov/2017:23:45:24 -0200] "GET /07_GestaoProdutos/ HTTP/1.1" 200 2293
0:0:0:0:0:0:0:1 - - [07/Nov/2017:23:45:24 -0200] "GET /07_GestaoProdutos/css/menu.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [07/Nov/2017:23:45:24 -0200] "GET /07_GestaoProdutos/css/estilos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [07/Nov/2017:23:45:24 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [07/Nov/2017:23:45:24 -0200] "GET /07_GestaoProdutos/js/script.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [07/Nov/2017:23:45:24 -0200] "GET /07_GestaoProdutos/img/3.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [07/Nov/2017:23:45:24 -0200] "GET /07_GestaoProdutos/img/1.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [07/Nov/2017:23:45:24 -0200] "GET /07_GestaoProdutos/img/2.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [07/Nov/2017:23:45:24 -0200] "GET /07_GestaoProdutos/js/script.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [07/Nov/2017:23:45:58 -0200] "GET /favicon.ico HTTP/1.1" 404 1081
