0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:11:54 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:11:54 -0200] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:11:54 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1589
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:11:54 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:12:06 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1586
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:12:06 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:12:08 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1586
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:12:08 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:12:59 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1718
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:12:59 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:13:02 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1718
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:13:02 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:13:02 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1718
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:13:02 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:13:02 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1718
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:13:02 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:13:02 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1718
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:13:02 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:13:02 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1718
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:13:02 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:13:03 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1718
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:13:03 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:13:03 -0200] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:13:23 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:13:23 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:13:24 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:13:24 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:13:25 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:13:25 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:13:25 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:13:25 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:13:26 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:13:26 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:13:32 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:13:32 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:13:34 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:13:34 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:13:34 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:13:34 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:13:35 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:13:35 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:13:35 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:13:35 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:13:35 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:13:35 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:13:36 -0200] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:13:48 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1721
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:13:48 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:13:48 -0200] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:21:19 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:21:19 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:21:24 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:21:24 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:21:25 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:21:25 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:21:26 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:21:26 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:21:26 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:21:26 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:21:29 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:21:29 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:21:31 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:21:31 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:21:31 -0200] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:23:38 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:24:56 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1745
